Id,Label,timeset,idlattes,componentnumber,N,collaborationrank,producaobibliografica,artigoemperiodico,livro,capitulodelivro,trabalhoemcongresso,resumoexpandido,resumo,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Nome
161,"[M, D, S]",,9224466302319645,3,,1.59149,25,25,0,0,0,0,0,2,64,2,0.666667,0.75,0,Morgana Duarte da Silva
168,"[M, A, A, S]",,8606207704187820,0,"[A, A]",1.27856,94,15,1,10,30,2,36,5,83,8,0.263314,0.315744,0,Marco Aurelio Alves de Souza
162,"[D, S, S]",,8253689558366590,0,,1.11706,61,10,0,0,0,26,25,3,70,10,0.194748,0.238309,0,Debora Schlotefeldt Siniak
143,"[C, F, C, L]",,9300090274623517,0,,0.392413,74,23,0,3,0,3,45,1,1,11,0.163004,0.187164,0,Carlos Frederico Ceccon Lanes
144,"[A, L, B]",,9365069870272242,0,[A],0.155513,46,10,5,16,13,0,2,2,2,11,0.153448,0.172553,0,Alinne de Lima Bonetti
145,"[A, M, F]",,9436487230121608,0,[A],0.485442,43,6,0,7,0,9,21,3,4,7,0.248603,0.294114,0.032586,Anali Martegani Ferreira
146,"[J, M, L]",,9449772207314379,0,,0.635173,37,12,0,1,3,9,12,3,8,9,0.198218,0.25811,0.001506,Jussara Mendes Lipinski
147,"[C, A, V]",,9474062270578041,0,[A],1.52076,118,20,0,2,1,17,78,3,72,10,0.194748,0.240133,0.004669,Catia Aline Veiverberg
148,"[L, S, N]",,9481005095699614,4,,1,75,23,0,2,1,1,48,1,1,1,1,1,0,Luciana de Souza Nunes
149,"[T, D, C, J]",,9668675171352534,38,,0.15,1,0,0,0,0,0,1,0,0,0,0,0,0,Tanise Da Camara Jacques
150,"[E, F, L]",,9733812300029971,39,,0.15,18,4,0,0,7,2,5,0,0,0,0,0,0,Eliade Ferreira Lima
151,"[M, C, S, B]",,9761857774819478,0,,0.686839,61,31,0,6,0,0,24,2,5,10,0.187764,0.237591,0.018678,Mario Celso Sperotto Brum
152,"[M, E, L]",,9880332007728108,0,,0.434401,10,10,0,0,0,0,0,1,3,10,0.192641,0.233775,0,Maria Eduarda de Lima
153,"[M, V, M, Q]",,9923685211581446,0,,0.721085,95,15,4,9,1,13,53,7,26,8,0.274691,0.34477,0.036368,Marcus Vinicius Morini Querol
154,"[V, G, S]",,8582667628347457,40,,1,0,0,0,0,0,0,0,1,9,0,0,0,0,Valeria Goncalves Scangarelli
