Id,Label,timeset,idlattes,collaborationrank,producaobibliografica,artigoemperiodico,livro,capitulodelivro,trabalhoemcongresso,resumoexpandido,resumo,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
75,Jacqueline da Costa Escobar Piccoli,,5099227329574183,1.05817,190,39,0,6,1,7,137,6,32,6,0.29697,0.34949,625.203366
76,Christian Caldeira Santos,,5133331455842344,0.895648,40,16,0,0,0,5,19,2,13,9,0.194059,0.238075,0
77,Juliana Lopes de Macedo,,5183171943913355,0.15,21,4,1,5,5,2,4,0,0,0,0,0,0
78,Vanessa Alvez Mora da Silva,,5241460895903730,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Guilherme de Medeiros Bastos,,5292926299421569,1,42,5,0,0,0,33,4,1,7,1,1,1,0
80,Cheila Denise Ottonelli Stopiglia,,5400708933813339,0.601768,146,27,0,0,0,17,102,5,8,7,0.248731,0.310739,140.319929
81,Fabiane Moreira Farias,,5421615151521751,0.603069,81,9,1,1,1,12,57,5,18,6,0.297872,0.346939,815.567536
82,Alexandre Crespo Coelho da Silva Pinto,,5465578896737143,0.15,24,3,0,3,4,4,10,0,0,0,0,0,0
83,Graziela Morgana Silva Tavares,,5587229134147743,1.28461,92,29,0,0,0,12,51,7,40,7,0.272981,0.343635,1071.509564
84,Diego Vilibaldo Beckmann,,5625811036384501,0.206851,88,42,0,1,0,39,6,3,5,10,0.186312,0.234917,0.5
85,Angela Kemel Zanella,,5698478368912787,0.302059,63,10,1,4,11,4,33,4,5,8,0.222222,0.273724,98.606793
86,Cleci Menezes Moreira,,5805841991374556,0.419408,73,13,0,0,0,0,60,3,7,9,0.240786,0.292424,48.794995
87,Daniel Henrique Roos,,5903230708776294,0.389665,82,24,0,1,7,3,47,2,3,9,0.23445,0.279839,20.299335
88,Fernanda Bruxel,,5910402149698767,0.397575,64,14,0,0,0,11,39,5,5,8,0.232779,0.291193,278.835382
89,Rita de Cassia Fossati Silveira Evaldt,,6043022554121052,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Cenir Goncalves Tier,,6283719909074304,1.1398,72,19,0,3,1,30,19,8,18,8,0.239024,0.323919,801.507335
91,Fabio Marcanth da Mota,,6430431415440980,0.15,4,4,0,0,0,0,0,0,0,0,0,0,0
