Wesley;;;;
111, http://lattes.cnpq.br/0989951246045806 OK;;;;
Amanda;;;;
112, http://lattes.cnpq.br/1732554531115089;;;;OK
113, http://lattes.cnpq.br/7525976996261066;;;;OK
114, http://lattes.cnpq.br/1945811068525845;;;;OK
115, http://lattes.cnpq.br/6644705302687385;;;;OK
116, http://lattes.cnpq.br/4714138643455131;;;;OK
117, http://lattes.cnpq.br/7651341120825287;;;;OK
118, http://lattes.cnpq.br/0130850513274456;;;;OK
119, http://lattes.cnpq.br/8978799324980898;;;;Ok
120, http://lattes.cnpq.br/9224466302319645;;;;Ok
121, http://lattes.cnpq.br/2447361827796110;;;;Erro
122, http://lattes.cnpq.br/2679717808067927;;;;OK
123, http://lattes.cnpq.br/2285888154281062;;;;OK
124, http://lattes.cnpq.br/0450761543923331;;;;OK
125, http://lattes.cnpq.br/13394425350428691;;;;OK
126, http://lattes.cnpq.br/9177182127478055;;;;OK
127, http://lattes.cnpq.br/1407091257163545;;;;OK
128, http://lattes.cnpq.br/2811224657299026;;;;OK
129, http://lattes.cnpq.br/0390762757228334;;;;OK
130, http://lattes.cnpq.br/2145471376587567;;;;OK
131, http://lattes.cnpq.br/7312946418733110;;;;OK
132, http://lattes.cnpq.br/8056365542183068;;;;OK
133, http://lattes.cnpq.br/6043022554121052;;;;OK
134, http://lattes.cnpq.br/4636080248996522;;;;OK
135, http://lattes.cnpq.br/1134532326779900;;;;OK
136, http://lattes.cnpq.br/8871615237315962;;;;OK
137, http://lattes.cnpq.br/6963889799741927;;;;OK
138, http://lattes.cnpq.br/9118206539574994;;;;OK
139, http://lattes.cnpq.br/4604160295058075;;;;OK
140, http://lattes.cnpq.br/9619193284591410;;;;OK
141, http://lattes.cnpq.br/9814152155074530;;;;OK
142, http://lattes.cnpq.br/7820034139865594;;;;OK
143, http://lattes.cnpq.br/3576679614859329;;;;OK
144, http://lattes.cnpq.br/5951882461375978;;;;OK
145, http://lattes.cnpq.br/5130937270549081;;;;OK
146, http://lattes.cnpq.br/1205982002582299;;;;OK
147, http://lattes.cnpq.br/9971842553577002;;;;OK
148, http://lattes.cnpq.br/2427437551173964;;;;OK
149, http://lattes.cnpq.br/8582667628347457;;;;OK
150, http://lattes.cnpq.br/8135232309980269;;;;OK
151, http://lattes.cnpq.br/5948856637013748;;;;OK
152, http://lattes.cnpq.br/7062274179396656;;;;OK
153, http://lattes.cnpq.br/8668404529943604;;;;OK
154, http://lattes.cnpq.br/5529127283220286;;;;OK
155, http://lattes.cnpq.br/7173922125020043;;;;OK
156, http://lattes.cnpq.br/2431890246253533;;;;OK
157, http://lattes.cnpq.br/0905525857714574;;;;OK
158, http://lattes.cnpq.br/2270064758363665;;;;OK
159, http://lattes.cnpq.br/6560882930658754;;;;OK
160, http://lattes.cnpq.br/9880332007728108;;;;OK
161, http://lattes.cnpq.br/5573110865198081;;;;OK
162, http://lattes.cnpq.br/7774559680471749;;;;OK
163, http://lattes.cnpq.br/4622960738333181;;;;OK
164, http://lattes.cnpq.br/2401243078759541;;;;OK
165, http://lattes.cnpq.br/3247616718779567;;;;OK
166, http://lattes.cnpq.br/2055612442605541;;;;OK
167, http://lattes.cnpq.br/8070325697830866;;;;OK
168, http://lattes.cnpq.br/9668675171352534;;;;OK
169, http://lattes.cnpq.br/5241460895903730;;;;OK
170, http://lattes.cnpq.br/1334990398175859;;;;OK
;;;;
;;;;
;;;;
